"icd3_std","n_events_target"
"C34",121
"I21",104
"I25",92
"J18",78
"I69",63
"I63",52
"C18",48
"C22",39
"J44",39
"I61",35
"C16",25
"E11",24
"C50",18
"I64",15
"C25",14
"C20",13
"I11",13
"C11",12
"K74",12
"C15",11
"J98",10
"C61",9
"J15",9
"C67",8
"C90",8
"W01",8
"C56",7
"I10",7
"I46",7
"X80",7
"C24",6
"C92",6
"I24",6
"I71",6
"C32",5
"E46",5
"I60",5
"I67",5
"K92",5
"W19",5
"Y86",5
"C19",4
"C23",4
"C85",4
"J42",4
"J47",4
"K27",4
"C71",3
"C79",3
"C95",3
"C97",3
"D46",3
"E14",3
"I62",3
"J43",3
"K80",3
"R54",3
"W70",3
"A41",2
"B18",2
"C26",2
"C37",2
"C43",2
"C48",2
"C53",2
"C54",2
"C78",2
"C80",2
"C82",2
"C83",2
"C91",2
"D37",2
"G12",2
"I09",2
"I13",2
"I49",2
"I50",2
"I70",2
"J84",2
"K26",2
"N04",2
"N18",2
"N19",2
"R09",2
"R96",2
"A04",1
"A16",1
"A17",1
"B17",1
"C02",1
"C06",1
"C17",1
"C30",1
"C45",1
"C52",1
"C60",1
"C64",1
"C73",1
"C76",1
"D33",1
"D59",1
"D61",1
"D64",1
"D69",1
"D76",1
"E05",1
"E16",1
"E41",1
"G06",1
"G30",1
"G40",1
"I12",1
"I26",1
"I27",1
"I31",1
"I34",1
"I38",1
"I40",1
"I42",1
"I43",1
"I44",1
"I48",1
"I82",1
"J40",1
"J45",1
"J69",1
"J93",1
"J94",1
"K25",1
"K29",1
"K52",1
"K56",1
"K65",1
"K70",1
"K72",1
"L89",1
"M10",1
"M33",1
"M35",1
"N03",1
"N11",1
"N13",1
"N17",1
"R11",1
"R99",1
"V04",1
"V09",1
"W10",1
"W44",1
"W66",1
"W78",1
"W79",1
"X02",1
"X30",1
"X70",1
"X78",1
"X84",1
"Y04",1
"Y30",1
"Y53",1
