"value","n","wave","component"
"0",3529,"BL","locomotion"
"1",3299,"BL","locomotion"
"2",3179,"BL","locomotion"
NA,20511,"BL","locomotion"
"0",2385,"BL","vitality"
"1",2262,"BL","vitality"
"2",2334,"BL","vitality"
NA,23537,"BL","vitality"
"0",229,"BL","cognition"
"1",2057,"BL","cognition"
"2",7329,"BL","cognition"
NA,20903,"BL","cognition"
"0",101,"BL","psy"
"1",1360,"BL","psy"
"2",8530,"BL","psy"
NA,20527,"BL","psy"
"0",948,"BL","sensory"
"0.5",7036,"BL","sensory"
"1",14735,"BL","sensory"
"1.5",5650,"BL","sensory"
"2",1699,"BL","sensory"
NA,450,"BL","sensory"
"0",35,"F1","locomotion"
"2",9,"F1","locomotion"
NA,30474,"F1","locomotion"
"0",3752,"F1","vitality"
"1",2616,"F1","vitality"
"2",2819,"F1","vitality"
NA,21331,"F1","vitality"
"0",442,"F1","cognition"
"1",3441,"F1","cognition"
"2",14010,"F1","cognition"
NA,12625,"F1","cognition"
"0",77,"F1","psy"
"1",1594,"F1","psy"
"2",16336,"F1","psy"
NA,12511,"F1","psy"
NA,30518,"F1","sensory"
"0",13,"F2","locomotion"
NA,30505,"F2","locomotion"
"0",2922,"F2","vitality"
"1",3446,"F2","vitality"
"2",3507,"F2","vitality"
NA,20643,"F2","vitality"
"0",10452,"F2","cognition"
NA,20066,"F2","cognition"
"0",9,"F2","psy"
"1",303,"F2","psy"
"2",10168,"F2","psy"
NA,20038,"F2","psy"
NA,30518,"F2","sensory"
"0",6,"F3","locomotion"
NA,30512,"F3","locomotion"
"0",1745,"F3","vitality"
"1",1898,"F3","vitality"
"2",1678,"F3","vitality"
NA,25197,"F3","vitality"
"0",60,"F3","cognition"
"1",896,"F3","cognition"
"2",4355,"F3","cognition"
NA,25207,"F3","cognition"
"0",1,"F3","psy"
"1",7,"F3","psy"
"2",5345,"F3","psy"
NA,25165,"F3","psy"
NA,30518,"F3","sensory"
