"wave","score","n","missing","mean","sd","median","p25","p75","min","max"
"BL","ic3_repeat",6672,23846,4.62649880095923,1.07277080852045,5,4,5,0,6
"BL","ic3_repeat_pct",6672,23846,77.1083133493205,17.8795134753407,83.3333333333333,66.6666666666667,83.3333333333333,0,100
"BL","ic4",6657,23861,5.58614991738019,1.50584014444507,6,5,7,0,8
"BL","ic4_pct",6657,23861,69.8268739672527,18.8230018055634,75,62.5,87.5,0,100
"BL","ic5",6632,23886,6.49419481302776,1.61457444111252,6.5,5.5,7.5,0,10
"BL","ic5_cf_sensory",6632,23886,6.49419481302776,1.61457444111252,6.5,5.5,7.5,0,10
"BL","ic5_cf_pct",6632,23886,64.9419481302774,16.1457444111251,65,55,75,0,100
"F1","ic3_repeat",9020,21498,4.50266075388027,1.06517493538175,4,4,5,0,6
"F1","ic3_repeat_pct",9020,21498,75.0443458980045,17.7529155896967,66.6666666666667,66.6666666666667,83.3333333333333,0,100
"F1","ic4",38,30480,4.78947368421053,1.27677581127688,5,4,6,2,8
"F1","ic4_pct",38,30480,59.8684210526316,15.959697640961,62.5,50,75,25,100
"F1","ic5",0,30518,NA,NA,NA,NA,NA,NA,NA
"F1","ic5_cf_sensory",37,30481,5.86486486486486,1.42716039280341,6,5,7,2.5,9.5
"F1","ic5_cf_pct",37,30481,58.6486486486486,14.2716039280341,60,50,70,25,95
"F2","ic3_repeat",9711,20807,3.02811244979919,0.825777123685714,3,2,4,0,4
"F2","ic3_repeat_pct",9711,20807,50.4685408299866,13.7629520614276,50,33.3333333333333,66.6666666666667,0,66.6666666666667
"F2","ic4",13,30505,2.92307692307692,0.75955452531275,3,2,3,2,4
"F2","ic4_pct",13,30505,36.5384615384615,9.49443156640937,37.5,25,37.5,25,50
"F2","ic5",0,30518,NA,NA,NA,NA,NA,NA,NA
"F2","ic5_cf_sensory",13,30505,3.80769230769231,1.18213192894698,4,3,4.5,2,6
"F2","ic5_cf_pct",13,30505,38.0769230769231,11.8213192894698,40,30,45,20,60
"F3","ic3_repeat",5248,25270,4.79573170731708,0.933976784471933,5,4,6,2,6
"F3","ic3_repeat_pct",5248,25270,79.9288617886179,15.5662797411991,83.3333333333333,66.6666666666667,100,33.3333333333333,100
"F3","ic4",6,30512,4.66666666666667,0.816496580927726,4.5,4,5,4,6
"F3","ic4_pct",6,30512,58.3333333333333,10.2062072615966,56.25,50,62.5,50,75
"F3","ic5",0,30518,NA,NA,NA,NA,NA,NA,NA
"F3","ic5_cf_sensory",6,30512,5.5,1.14017542509914,5.25,4.625,5.875,4.5,7.5
"F3","ic5_cf_pct",6,30512,55,11.4017542509914,52.5,46.25,58.75,45,75
