"baseline","followup","n","row_pct","total_pct","wave"
"Low","Low",14,0.948509485094851,0.0773480662983425,"F1 (first follow-up; derived from v7_*_f)"
"Moderate","Low",171,2.37764182424917,0.94475138121547,"F1 (first follow-up; derived from v7_*_f)"
"High","Low",212,2.24766751484309,1.17127071823204,"F1 (first follow-up; derived from v7_*_f)"
"Low","Moderate",329,22.289972899729,1.81767955801105,"F1 (first follow-up; derived from v7_*_f)"
"Moderate","Moderate",1695,23.5678531701891,9.3646408839779,"F1 (first follow-up; derived from v7_*_f)"
"High","Moderate",1677,17.7798982188295,9.26519337016575,"F1 (first follow-up; derived from v7_*_f)"
"Low","High",1133,76.7615176151761,6.25966850828729,"F1 (first follow-up; derived from v7_*_f)"
"Moderate","High",5326,74.0545050055617,29.4254143646409,"F1 (first follow-up; derived from v7_*_f)"
"High","High",7543,79.9724342663274,41.6740331491713,"F1 (first follow-up; derived from v7_*_f)"
"Low","Low",11,1.18152524167562,0.104107514669695,"F2"
"Moderate","Low",53,1.30093274423171,0.501608934317623,"F2"
"High","Low",65,1.16885452256788,0.615180768502745,"F2"
"Low","Moderate",375,40.2792696025779,3.54911981828507,"F2"
"Moderate","Moderate",1624,39.8625429553265,15.3700548930532,"F2"
"High","Moderate",1839,33.069591800036,17.40488358887,"F2"
"Low","High",545,58.5392051557465,5.15805413590763,"F2"
"Moderate","High",2397,58.8365243004418,22.6859738784781,"F2"
"High","High",3657,65.7615536773962,34.611016467916,"F2"
"Low","Low",4,0.852878464818763,0.0743632645473136,"F3"
"Moderate","Low",13,0.636319138521782,0.241680609778769,"F3"
"High","Low",13,0.453435647017789,0.241680609778769,"F3"
"Low","Moderate",150,31.9829424307036,2.78862242052426,"F3"
"Moderate","Moderate",615,30.1027900146843,11.4333519241495,"F3"
"High","Moderate",823,28.7059644227415,15.3002416806098,"F3"
"Low","High",315,67.1641791044776,5.85610708310095,"F3"
"Moderate","High",1415,69.2608908467939,26.3060048336122,"F3"
"High","High",2031,70.8405999302407,37.7579475738985,"F3"
