"interval","exposure_type","model_id","term","coef","se","z","p_value","hr","ci_lower","ci_upper","n","nevent"
"BL_to_F1","ipaq_direction","M1","ipaq_directionimproved",-0.0306432644492535,0.0366508058051446,-0.836087059372434,0.403105927829963,0.969821481173712,0.902598436479299,1.04205111302289,18074,3930
"BL_to_F1","ipaq_direction","M1","ipaq_directionworsened",0.00855843757525578,0.0488876903803987,0.175063242068953,0.861029940770375,1.00859516570582,0.91643908854238,1.11001835365091,18074,3930
"BL_to_F1","ipaq_direction","M3","ipaq_directionimproved",-0.0506454622846396,0.0474217940324768,-1.067978622866,0.285530154773204,0.950615639891877,0.866242427108808,1.04320692051895,10746,2656
"BL_to_F1","ipaq_direction","M3","ipaq_directionworsened",-0.00775791949319939,0.0533241973183653,-0.145485912275092,0.884327237786249,0.992272095496122,0.893801623804655,1.10159109726059,10746,2656
"BL_to_F1","met_change_sd","M1","met_change_sd",0.00285516382311601,0.032133581581948,0.0888529595070093,0.929198768492254,1.00285924368531,0.941646350708034,1.06805135695461,18051,3926
"BL_to_F1","met_change_sd","M3","met_change_sd",-0.011433800338553,0.0811745598401757,-0.140854479051873,0.887984903976551,0.988631317140165,0.843215251188107,1.1591250037913,10745,2656
"F1_to_F2","ipaq_direction","M1","ipaq_directionimproved",0.124794328693407,0.0774973083399645,1.61030533016657,0.107331216192434,1.13291542090876,0.973266241672982,1.31875256325198,10364,1371
"F1_to_F2","ipaq_direction","M1","ipaq_directionworsened",0.0861809388780743,0.0623755911578221,1.38164524421132,0.167080654629952,1.09000353448008,0.964569903060485,1.23174868032823,10364,1371
"F1_to_F2","ipaq_direction","M3","ipaq_directionimproved",0.199873973072901,0.0912166406369441,2.19120076860131,0.0284372670166764,1.22124883822304,1.02131666472058,1.46031958194785,6070,932
"F1_to_F2","ipaq_direction","M3","ipaq_directionworsened",0.0326999475328765,0.0777878873103301,0.420373256859671,0.674212801478668,1.0332404663735,0.887131983571439,1.20341266138756,6070,932
"F1_to_F2","met_change_sd","M1","met_change_sd",-0.00394253273180653,0.0574125855173437,-0.0686701826138023,0.945252152985444,0.996065228846921,0.890057570311144,1.11469861412564,10349,1367
"F1_to_F2","met_change_sd","M3","met_change_sd",-0.00580118716492037,0.0511091319433913,-0.113505883280228,0.909629499043927,0.994215607229838,0.899448712454768,1.09896724512695,6060,928
"F2_to_F3","ipaq_direction","M1","ipaq_directionimproved",-0.0751830196088406,0.119632211632602,-0.628451305738062,0.529708336222033,0.927573706615563,0.733697951118152,1.17268009252759,5372,479
"F2_to_F3","ipaq_direction","M1","ipaq_directionworsened",0.28566331343044,0.109363700620604,2.61204871277575,0.00900014290954677,1.33064436973619,1.07391881179564,1.64874143116095,5372,479
"F2_to_F3","ipaq_direction","M3","ipaq_directionimproved",-0.157999297756739,0.149316830817497,-1.05814794549085,0.289987998763514,0.853850381578948,0.637210700271829,1.14414348944784,3154,327
"F2_to_F3","ipaq_direction","M3","ipaq_directionworsened",0.331251498609792,0.132245494985494,2.50482255479573,0.0122512839790867,1.39271001289844,1.0747145498767,1.80479661343573,3154,327
"F2_to_F3","met_change_sd","M1","met_change_sd",0.0202742164839404,0.0448358604506758,0.45218751865472,0.651133899009652,1.02048113441149,0.934631957791998,1.11421585470922,5358,477
"F2_to_F3","met_change_sd","M3","met_change_sd",0.066728366343745,0.0518490011735519,1.28697496255305,0.19810301506222,1.06900506097957,0.965707960702031,1.18335135144707,3145,326
