"interval","exposure_type","model_id","n","nevent","loglik_null","loglik_fit","aic","concordance","concordance_se"
"BL_to_F1","ipaq_direction","M1",18074,3930,-37491.0848228585,-35877.0019239275,71766.0038478551,0.749809667475878,0.0038515999358004
"BL_to_F1","ipaq_direction","M3",10746,2656,-23910.4564661571,-22745.8767578474,45555.7535156947,0.758249433253594,0.00456597297462868
"BL_to_F1","met_change_sd","M1",18051,3926,-37447.9240223742,-35836.5541235568,71683.1082471135,0.749837747602816,0.00385003122163376
"BL_to_F1","met_change_sd","M3",10745,2656,-23910.2236584105,-22746.4038886899,45554.8077773798,0.758238607322151,0.00456297596451088
"F1_to_F2","ipaq_direction","M1",10364,1371,-12428.2197157662,-11738.4289335915,23488.8578671831,0.767985902609958,0.00630293762960021
"F1_to_F2","ipaq_direction","M3",6070,932,-7939.40843790781,-7454.85252744653,14973.7050548931,0.772402470187571,0.00743772757449799
"F1_to_F2","met_change_sd","M1",10349,1367,-12390.2563967636,-11702.5643942479,23415.1287884957,0.767918027105457,0.00631952857018965
"F1_to_F2","met_change_sd","M3",6060,928,-7903.92947566166,-7420.9832561326,14903.9665122652,0.772997155358072,0.00745772617129685
"F2_to_F3","ipaq_direction","M1",5372,479,-4036.37965171403,-3766.75748700062,7545.51497400124,0.782875306836197,0.0110570536044487
"F2_to_F3","ipaq_direction","M3",3154,327,-2581.47565985521,-2383.71780372595,4831.43560745189,0.790021119616854,0.0128431920350037
"F2_to_F3","met_change_sd","M1",5358,477,-4018.26120155223,-3752.33937234269,7514.67874468537,0.782946117987548,0.0110193820382653
"F2_to_F3","met_change_sd","M3",3145,326,-2572.55116866187,-2377.26856033695,4816.53712067391,0.791133232419119,0.0126468174520215
