"from","to","n","row_pct","interval","total_pct"
"low","low",14,0.948509485094851,"BL_to_F1",0.0773480662983425
"moderate","low",171,2.37764182424917,"BL_to_F1",0.94475138121547
"high","low",212,2.24766751484309,"BL_to_F1",1.17127071823204
"low","moderate",329,22.289972899729,"BL_to_F1",1.81767955801105
"moderate","moderate",1695,23.5678531701891,"BL_to_F1",9.3646408839779
"high","moderate",1677,17.7798982188295,"BL_to_F1",9.26519337016575
"low","high",1133,76.7615176151761,"BL_to_F1",6.25966850828729
"moderate","high",5326,74.0545050055617,"BL_to_F1",29.4254143646409
"high","high",7543,79.9724342663274,"BL_to_F1",41.6740331491713
"low","low",6,2.97029702970297,"F1_to_F2",0.057809037479526
"moderate","low",29,1.46984287886467,"F1_to_F2",0.279410347817709
"high","low",89,1.08483666504144,"F1_to_F2",0.857500722612969
"low","moderate",85,42.0792079207921,"F1_to_F2",0.818961364293284
"moderate","moderate",853,43.2336543335023,"F1_to_F2",8.21851816167261
"high","moderate",2841,34.6294490492443,"F1_to_F2",27.3725792465555
"low","high",111,54.950495049505,"F1_to_F2",1.06946719337123
"moderate","high",1091,55.296502787633,"F1_to_F2",10.5116099816938
"high","high",5274,64.2857142857143,"F1_to_F2",50.8141439445033
"low","low",0,0,"F2_to_F3",0
"moderate","low",13,0.717043574186431,"F2_to_F3",0.241680609778769
"high","low",17,0.483091787439614,"F2_to_F3",0.316043874326083
"low","moderate",14,29.7872340425532,"F2_to_F3",0.260271425915598
"moderate","moderate",602,33.2046332046332,"F2_to_F3",11.1916713143707
"high","moderate",972,27.6214833759591,"F2_to_F3",18.0702732849972
"low","high",33,70.2127659574468,"F2_to_F3",0.613496932515337
"moderate","high",1198,66.0783232211804,"F2_to_F3",22.2717977319204
"high","high",2530,71.8954248366013,"F2_to_F3",47.0347648261759
